Andaman and Nicobar,AN
Andhra Pradesh,AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BI
Chandigarh,CH
Chattisgarh,CG
Dadra and Nagar Haveli,DN
Daman and Diu,DD
Goa,GO
Gujarat,GJ
Haryana,HR
Himachal Pradesh,HP
Jammu and Kashmir,JK
Jharkhand,JR
Karnataka,KK
Kerala,KL
Lakshadweep,LD
Madhya Pradesh,MP
Maharashtra,MH
Manipur,MN
Meghalaya,MG
Mizoram,MZ
Nagaland,NG
NCT of Delhi,DL
Odisha,OR
Pondicherry,PC
Punjab,PB
Rajasthan,RJ
Sikkim,SK
Tamil Nadu,TN
Telangana,TL
Tripura,TR
Uttar Pradesh,UP
Uttrakhand,UC
West Bengal,WB
